transaction_id,amount,location,device,payment_method,hour,avg_amount,amount_ratio,new_device,location_change,transactions_last_10min,is_fraud,created_at
TXN10058,1144.19,New York,iPhone 15,Net Banking,22,1500.0,0.76,0,1,3,0,2026-08-16 22:09:09
TXN10059,18602.66,New York,Android Device,Debit Card,17,2500.0,7.44,1,1,4,1,2026-08-16 17:49:33
TXN10060,6386.0,Mumbai,Samsung S24,Credit Card,20,5000.0,1.28,0,0,1,0,2026-08-16 20:16:42
TXN10061,3776.1,Mumbai,Unknown Web Client,Debit Card,12,2500.0,1.51,1,0,3,0,2026-08-16 12:45:18
TXN10062,10897.9,New York,Android Device,UPI,23,2500.0,4.36,1,1,9,1,2026-08-16 23:27:07
TXN10063,5079.82,Delhi,Chrome Windows,Net Banking,9,3500.0,1.45,0,0,1,0,2026-08-16 09:44:25
TXN10064,21506.18,Pune,iPhone 15,Net Banking,8,5000.0,4.3,0,0,1,0,2026-08-16 08:48:43
TXN10065,2209.15,Delhi,iPhone 15,Debit Card,21,2500.0,0.88,0,0,2,0,2026-08-16 21:30:22
TXN10066,13700.22,Delhi,iPhone 15,Net Banking,12,12000.0,1.14,0,0,1,0,2026-08-16 12:29:05
TXN10067,2215.95,Pune,Safari macOS,UPI,5,1500.0,1.48,0,0,1,0,2026-08-16 05:26:03
TXN10068,6604.64,Delhi,Safari macOS,UPI,21,8000.0,0.83,0,0,1,0,2026-08-16 21:07:01
TXN10069,3249.49,Hyderabad,Samsung S24,Net Banking,20,3500.0,0.93,0,0,1,0,2026-08-16 20:31:59
TXN10070,2248.42,Pune,Samsung S24,Net Banking,22,3500.0,0.64,0,0,1,0,2026-08-16 22:55:04
TXN10071,3098.62,Pune,Safari macOS,Debit Card,15,5000.0,0.62,0,0,1,0,2026-08-16 15:55:09
TXN10072,4844.16,Mumbai,Safari macOS,Debit Card,19,3500.0,1.38,0,0,1,0,2026-08-16 19:14:54
TXN10073,141045.25,Chennai,Unknown Web Client,Debit Card,2,12000.0,11.75,1,1,2,1,2026-08-16 02:55:06
TXN10074,30824.31,London,Android Device,Net Banking,23,5000.0,6.16,1,1,2,1,2026-08-16 23:04:30
TXN10075,20643.54,Delhi,iPhone 15,UPI,9,12000.0,1.72,0,0,2,0,2026-08-16 09:39:04
TXN10076,3400.62,Bangalore,iPhone 15,Credit Card,0,3500.0,0.97,0,0,1,0,2026-08-16 00:02:20
TXN10077,5228.77,Hyderabad,Safari macOS,UPI,14,3500.0,1.49,0,0,1,0,2026-08-16 14:39:43
TXN10078,9245.12,Delhi,Chrome Windows,UPI,21,8000.0,1.16,0,0,1,0,2026-08-16 21:43:34
TXN10079,26080.49,Singapore,Unknown Web Client,Debit Card,20,3500.0,7.45,1,1,9,1,2026-08-16 20:12:24
TXN10080,3862.79,Pune,iPhone 15,Debit Card,16,5000.0,0.77,0,0,2,0,2026-08-16 16:58:38
TXN10081,4044.35,Mumbai,iPhone 15,Credit Card,14,3500.0,1.16,0,0,1,0,2026-08-16 14:57:40
TXN10082,9250.27,Delhi,Samsung S24,Net Banking,18,5000.0,1.85,0,0,1,0,2026-08-16 18:12:08
TXN10083,3450.2,Bangalore,iPhone 15,UPI,15,3500.0,0.99,0,0,1,0,2026-08-16 15:29:04
TXN10084,4674.62,Delhi,iPhone 15,Credit Card,19,2500.0,1.87,0,0,2,0,2026-08-16 19:16:34
TXN10085,4208.09,Mumbai,Safari macOS,Net Banking,15,12000.0,0.35,0,0,2,0,2026-08-16 15:01:39
TXN10086,3473.11,Hyderabad,iPhone 15,Credit Card,21,2500.0,1.39,0,0,2,0,2026-08-16 21:19:31
TXN10087,11433.06,London,Unknown Web Client,UPI,11,8000.0,1.43,1,1,15,1,2026-08-16 11:37:47
TXN10088,12425.19,Bangalore,Samsung S24,UPI,22,12000.0,1.04,0,0,1,0,2026-08-16 22:28:28
TXN10089,1330.91,Bangalore,Samsung S24,Debit Card,4,1500.0,0.89,0,0,2,0,2026-08-16 04:07:54
TXN10090,14168.86,Mumbai,Android Device,UPI,1,2500.0,5.67,1,0,12,1,2026-08-16 01:04:53
TXN10091,2593.47,Mumbai,Samsung S24,UPI,11,2500.0,1.04,0,0,1,0,2026-08-16 11:34:16
TXN10092,6643.18,Mumbai,Safari macOS,Credit Card,18,1500.0,4.43,0,0,1,0,2026-08-16 18:33:07
TXN10093,3205.58,Pune,Chrome Windows,Credit Card,10,3500.0,0.92,0,0,1,0,2026-08-16 10:29:41
TXN10094,56839.53,Hyderabad,Android Device,UPI,4,5000.0,11.37,1,0,3,1,2026-08-16 04:20:38
TXN10095,23284.74,Singapore,Unknown Web Client,Credit Card,12,3500.0,6.65,1,1,10,1,2026-08-16 12:06:50
TXN10096,13842.61,Delhi,Safari macOS,Credit Card,13,12000.0,1.15,0,0,2,0,2026-08-16 13:26:46
TXN10097,6321.27,Hyderabad,iPhone 15,Net Banking,18,3500.0,1.81,0,0,3,0,2026-08-16 18:27:06
TXN10098,6502.15,Hyderabad,Chrome Windows,Net Banking,17,8000.0,0.81,0,0,2,0,2026-08-16 17:38:19
TXN10099,5789.49,Bangalore,Samsung S24,Credit Card,22,8000.0,0.72,0,0,2,0,2026-08-16 22:51:27
TXN10100,9817.87,Bangalore,Android Device,UPI,15,12000.0,0.82,1,0,1,0,2026-08-16 15:11:55
TXN10101,7210.94,Bangalore,Samsung S24,Net Banking,7,5000.0,1.44,0,0,2,0,2026-08-16 07:23:19
TXN10102,9124.31,Bangalore,Safari macOS,Debit Card,8,8000.0,1.14,0,0,1,0,2026-08-16 08:42:27
TXN10103,4045.21,Bangalore,iPhone 15,Credit Card,10,5000.0,0.81,0,0,3,0,2026-08-16 10:14:25
TXN10104,937.92,Singapore,Safari macOS,Debit Card,9,3500.0,0.27,0,1,10,1,2026-08-16 09:11:08
TXN10105,3069.75,Delhi,iPhone 15,Debit Card,18,2500.0,1.23,0,0,1,0,2026-08-16 18:55:20
TXN10106,12475.14,London,Safari macOS,Net Banking,16,12000.0,1.04,0,1,2,0,2026-08-16 16:53:44
TXN10107,981.11,Kolkata,Unknown Web Client,UPI,16,1500.0,0.65,1,1,6,1,2026-08-16 16:14:21
TXN10108,112661.97,Kolkata,Unknown Web Client,UPI,16,12000.0,9.39,1,1,2,1,2026-08-16 16:46:52
TXN10109,3683.08,Delhi,Safari macOS,Debit Card,12,2500.0,1.47,0,0,1,0,2026-08-16 12:48:36
TXN10110,6041.31,Delhi,Safari macOS,Net Banking,17,8000.0,0.76,0,0,1,0,2026-08-16 17:40:19
TXN10111,3070.06,Chennai,iPhone 15,Debit Card,16,3500.0,0.88,0,1,2,0,2026-08-16 16:39:38
TXN10112,6838.7,Delhi,Samsung S24,Credit Card,23,8000.0,0.85,0,0,1,0,2026-08-16 23:03:28
TXN10113,1949.08,Delhi,Samsung S24,Net Banking,0,3500.0,0.56,0,0,1,0,2026-08-16 00:23:23
TXN10114,3940.12,Pune,Safari macOS,UPI,8,3500.0,1.13,0,0,1,0,2026-08-16 08:18:16
TXN10115,8880.55,Hyderabad,Chrome Windows,Net Banking,18,8000.0,1.11,0,0,2,0,2026-08-16 18:35:24
TXN10116,54972.37,Mumbai,Chrome Windows,UPI,9,12000.0,4.58,0,0,1,0,2026-08-16 09:49:31
TXN10117,2276.08,Pune,Samsung S24,UPI,16,2500.0,0.91,0,0,1,0,2026-08-16 16:38:24
TXN10118,6812.49,Kolkata,Safari macOS,Debit Card,12,12000.0,0.57,0,1,2,0,2026-08-16 12:39:18
TXN10119,2112.84,Bangalore,Safari macOS,Debit Card,22,2500.0,0.85,0,0,3,0,2026-08-16 22:32:33
TXN10120,2179.74,London,iPhone 15,Credit Card,11,2500.0,0.87,0,1,3,0,2026-08-16 11:45:54
TXN10121,1813.72,Bangalore,iPhone 15,Debit Card,11,2500.0,0.73,0,0,1,0,2026-08-16 11:26:03
TXN10122,2343.81,New York,Chrome Windows,UPI,9,2500.0,0.94,0,1,1,0,2026-08-16 09:50:09
TXN10123,6841.0,Pune,Unknown Web Client,UPI,19,5000.0,1.37,1,1,5,1,2026-08-16 19:13:53
TXN10124,14104.97,Mumbai,Safari macOS,Debit Card,20,12000.0,1.18,0,0,1,0,2026-08-16 20:40:50
TXN10125,34376.19,Mumbai,Unknown Web Client,Net Banking,20,5000.0,6.88,1,0,10,1,2026-08-16 20:27:00
TXN10126,10632.47,Delhi,iPhone 15,Net Banking,9,5000.0,2.13,0,0,1,0,2026-08-16 09:40:24
TXN10127,1608.49,Bangalore,Samsung S24,Net Banking,9,1500.0,1.07,0,0,1,0,2026-08-16 09:02:22
TXN10128,2771.28,Hyderabad,Safari macOS,UPI,21,2500.0,1.11,0,0,1,0,2026-08-16 21:02:18
TXN10129,17124.98,New York,Unknown Web Client,UPI,10,2500.0,6.85,1,1,3,1,2026-08-16 10:16:02
TXN10130,1455.99,Delhi,Safari macOS,Debit Card,17,1500.0,0.97,0,0,2,0,2026-08-16 17:21:11
TXN10131,1624.59,Mumbai,Chrome Windows,Credit Card,15,3500.0,0.46,0,0,1,0,2026-08-16 15:20:06
TXN10132,3463.08,Bangalore,Safari macOS,Credit Card,20,3500.0,0.99,0,0,3,0,2026-08-16 20:17:40
TXN10133,131288.22,Delhi,Android Device,UPI,1,12000.0,10.94,1,0,1,1,2026-08-16 01:08:04
TXN10134,3585.35,Hyderabad,Samsung S24,Debit Card,8,3500.0,1.02,0,0,2,0,2026-08-16 08:33:23
TXN10135,9375.12,Hyderabad,Unknown Web Client,Debit Card,10,3500.0,2.68,1,0,2,0,2026-08-16 10:49:16
TXN10136,7407.53,Delhi,iPhone 15,Net Banking,22,8000.0,0.93,0,0,1,0,2026-08-16 22:51:43
TXN10137,13538.34,Pune,Samsung S24,UPI,16,12000.0,1.13,0,0,1,0,2026-08-16 16:07:12
TXN10138,4931.06,Hyderabad,iPhone 15,Debit Card,18,5000.0,0.99,0,0,1,0,2026-08-16 18:19:25
TXN10139,3132.92,Pune,Chrome Windows,UPI,9,5000.0,0.63,0,0,1,0,2026-08-16 09:08:56
TXN10140,3948.83,Bangalore,Samsung S24,Net Banking,8,2500.0,1.58,0,0,1,0,2026-08-16 08:22:33
TXN10141,4728.16,Mumbai,Samsung S24,Net Banking,15,3500.0,1.35,0,0,1,0,2026-08-16 15:10:42
TXN10142,10977.57,Pune,Safari macOS,Credit Card,7,8000.0,1.37,0,0,1,0,2026-08-16 07:39:40
TXN10143,8340.74,Hyderabad,iPhone 15,Debit Card,16,12000.0,0.7,0,0,2,0,2026-08-16 16:10:28
TXN10144,4381.58,Mumbai,Chrome Windows,Credit Card,11,2500.0,1.75,0,0,2,0,2026-08-16 11:32:35
TXN10145,2853.93,Pune,Safari macOS,UPI,21,5000.0,0.57,0,0,1,0,2026-08-16 21:15:55
TXN10146,10116.67,Bangalore,Safari macOS,Debit Card,13,8000.0,1.26,0,0,3,0,2026-08-16 13:01:05
TXN10147,6004.28,Hyderabad,Android Device,Net Banking,18,2500.0,2.4,1,0,3,0,2026-08-16 18:27:08
TXN10148,3364.31,Hyderabad,Safari macOS,Net Banking,19,5000.0,0.67,0,0,2,0,2026-08-16 19:32:28
TXN10149,6378.43,Bangalore,Chrome Windows,UPI,10,8000.0,0.8,0,0,2,0,2026-08-16 10:48:09
TXN10150,5203.33,Mumbai,Android Device,Net Banking,8,5000.0,1.04,1,0,3,0,2026-08-16 08:20:59
TXN10151,6540.75,Bangalore,Safari macOS,Net Banking,16,8000.0,0.82,0,0,3,0,2026-08-16 16:52:01
TXN10152,806.7,Bangalore,Samsung S24,Debit Card,3,1500.0,0.54,0,0,1,0,2026-08-16 03:46:03
TXN10153,12333.66,Hyderabad,Samsung S24,Net Banking,19,12000.0,1.03,0,0,1,0,2026-08-16 19:01:28
TXN10154,3269.11,Hyderabad,Samsung S24,Net Banking,20,5000.0,0.65,0,0,3,0,2026-08-16 20:33:13
TXN10155,6042.84,Bangalore,Safari macOS,Net Banking,17,5000.0,1.21,0,0,2,0,2026-08-16 17:12:15
TXN10156,1730.69,Bangalore,Chrome Windows,Debit Card,16,2500.0,0.69,0,0,3,0,2026-08-16 16:18:07
TXN10157,9294.4,Delhi,Chrome Windows,UPI,11,5000.0,1.86,0,0,1,0,2026-08-16 11:47:30
TXN10158,5848.24,Pune,Samsung S24,Credit Card,15,8000.0,0.73,0,0,1,0,2026-08-16 15:40:14
TXN10159,3076.95,Delhi,Safari macOS,Net Banking,10,3500.0,0.88,0,0,1,0,2026-08-16 10:41:12
TXN10160,16615.13,Mumbai,Safari macOS,UPI,9,12000.0,1.38,0,0,1,0,2026-08-16 09:56:53
TXN10161,916.79,Hyderabad,Chrome Windows,Credit Card,5,1500.0,0.61,0,0,1,0,2026-08-16 05:36:38
TXN10162,3833.38,Hyderabad,Chrome Windows,Debit Card,22,3500.0,1.1,0,0,3,0,2026-08-16 22:10:46
TXN10163,20242.08,Delhi,Safari macOS,Credit Card,17,12000.0,1.69,0,0,1,0,2026-08-16 17:32:20
TXN10164,788.57,Mumbai,Safari macOS,Net Banking,11,1500.0,0.53,0,0,1,0,2026-08-16 11:48:17
TXN10165,12919.79,Delhi,Chrome Windows,Net Banking,15,12000.0,1.08,0,0,1,0,2026-08-16 15:10:25
TXN10166,13314.58,Delhi,Chrome Windows,Debit Card,16,12000.0,1.11,0,0,1,0,2026-08-16 16:26:44
TXN10167,16405.81,Pune,Chrome Windows,Credit Card,14,12000.0,1.37,0,0,1,0,2026-08-16 14:04:58
TXN10168,37994.1,Bangalore,Unknown Web Client,UPI,18,8000.0,4.75,1,0,10,1,2026-08-16 18:07:43
TXN10169,3048.52,Hyderabad,Safari macOS,Net Banking,21,5000.0,0.61,0,0,2,0,2026-08-16 21:43:51
TXN10170,2948.38,Hyderabad,iPhone 15,Credit Card,7,5000.0,0.59,0,0,1,0,2026-08-16 07:59:57
TXN10171,6160.85,Delhi,Safari macOS,Debit Card,20,5000.0,1.23,0,0,2,0,2026-08-16 20:55:58
TXN10172,13513.65,Delhi,Samsung S24,Credit Card,1,12000.0,1.13,0,0,1,0,2026-08-16 01:46:14
TXN10173,3868.86,Mumbai,Chrome Windows,Credit Card,20,3500.0,1.11,0,0,1,0,2026-08-16 20:12:59
TXN10174,68475.32,Hyderabad,Safari macOS,Credit Card,2,12000.0,5.71,0,0,1,1,2026-08-16 02:38:43
TXN10175,1722.96,Bangalore,Samsung S24,Net Banking,14,1500.0,1.15,0,0,1,0,2026-08-16 14:52:58
TXN10176,9142.16,Bangalore,iPhone 15,UPI,14,12000.0,0.76,0,0,1,0,2026-08-16 14:35:37
TXN10177,5486.77,Bangalore,Safari macOS,Net Banking,8,5000.0,1.1,0,0,2,0,2026-08-16 08:26:09
TXN10178,8995.01,Pune,Safari macOS,UPI,14,8000.0,1.12,0,0,3,0,2026-08-16 14:26:35
TXN10179,2630.1,Mumbai,iPhone 15,Credit Card,9,3500.0,0.75,0,0,1,0,2026-08-16 09:17:24
TXN10180,5273.01,Hyderabad,Samsung S24,Credit Card,13,2500.0,2.11,0,0,2,0,2026-08-16 13:59:12
TXN10181,6043.43,Delhi,Safari macOS,Net Banking,13,5000.0,1.21,0,0,2,0,2026-08-16 13:34:41
TXN10182,2173.29,Bangalore,Samsung S24,Debit Card,22,3500.0,0.62,0,0,3,0,2026-08-16 22:23:20
TXN10183,2277.0,Singapore,Chrome Windows,Net Banking,17,2500.0,0.91,0,1,14,1,2026-08-16 17:09:12
TXN10184,10402.68,Delhi,Safari macOS,Net Banking,22,8000.0,1.3,0,0,2,0,2026-08-16 22:29:10
TXN10185,8125.72,Hyderabad,iPhone 15,Debit Card,12,12000.0,0.68,0,0,1,0,2026-08-16 12:48:00
TXN10186,16440.38,Pune,Unknown Web Client,Credit Card,11,12000.0,1.37,1,0,2,0,2026-08-16 11:42:31
TXN10187,94738.84,Hyderabad,Safari macOS,UPI,3,8000.0,11.84,0,0,3,1,2026-08-16 03:51:58
TXN10188,2384.29,Delhi,iPhone 15,Debit Card,14,1500.0,1.59,0,0,2,0,2026-08-16 14:23:25
TXN10189,8642.0,Delhi,Safari macOS,Credit Card,9,12000.0,0.72,0,0,1,0,2026-08-16 09:35:30
TXN10190,17641.55,Hyderabad,iPhone 15,Debit Card,22,12000.0,1.47,0,0,2,0,2026-08-16 22:14:13
TXN10191,1769.29,Bangalore,iPhone 15,UPI,15,1500.0,1.18,0,0,1,0,2026-08-16 15:13:37
TXN10192,16672.0,Pune,Chrome Windows,UPI,9,12000.0,1.39,0,0,2,0,2026-08-16 09:24:48
TXN10193,25626.42,Pune,Safari macOS,Credit Card,18,12000.0,2.14,0,0,1,0,2026-08-16 18:49:20
TXN10194,4532.54,Delhi,iPhone 15,Net Banking,18,5000.0,0.91,0,0,1,0,2026-08-16 18:49:39
TXN10195,8876.54,Bangalore,Chrome Windows,Credit Card,15,12000.0,0.74,0,0,1,0,2026-08-16 15:06:05
TXN10196,3503.04,Pune,Safari macOS,Credit Card,15,5000.0,0.7,0,0,2,0,2026-08-16 15:06:01
TXN10197,1082.36,Chennai,Samsung S24,UPI,17,1500.0,0.72,0,1,2,0,2026-08-16 17:36:33
TXN10198,2424.08,Delhi,Chrome Windows,Credit Card,16,2500.0,0.97,0,0,1,0,2026-08-16 16:30:50
TXN10199,2865.52,Hyderabad,Safari macOS,Debit Card,22,2500.0,1.15,0,0,1,0,2026-08-16 22:21:53
TXN10200,3909.62,Pune,Samsung S24,UPI,20,3500.0,1.12,0,0,1,0,2026-08-16 20:30:20
TXN10201,4872.64,Delhi,Chrome Windows,UPI,22,3500.0,1.39,0,0,2,0,2026-08-16 22:07:59
TXN10202,8041.71,Bangalore,iPhone 15,Debit Card,7,8000.0,1.01,0,0,1,0,2026-08-16 07:52:54
TXN10203,4471.41,Hyderabad,Safari macOS,Debit Card,14,2500.0,1.79,0,0,2,0,2026-08-16 14:38:30
TXN10204,10794.58,Mumbai,Chrome Windows,Credit Card,8,12000.0,0.9,0,0,1,0,2026-08-16 08:10:41
TXN10205,35622.39,Hyderabad,Chrome Windows,UPI,19,12000.0,2.97,0,0,2,0,2026-08-16 19:14:32
TXN10206,6421.84,Chennai,iPhone 15,UPI,11,5000.0,1.28,0,1,1,0,2026-08-16 11:53:46
TXN10207,2484.07,Delhi,Chrome Windows,Credit Card,13,3500.0,0.71,0,0,1,0,2026-08-16 13:04:19
TXN10208,977.37,Mumbai,Samsung S24,Net Banking,17,1500.0,0.65,0,0,1,0,2026-08-16 17:35:10
TXN10209,6064.35,Pune,Samsung S24,Debit Card,19,5000.0,1.21,0,0,2,0,2026-08-16 19:28:37
TXN10210,10973.92,Pune,Samsung S24,UPI,15,12000.0,0.91,0,0,1,0,2026-08-16 15:23:20
TXN10211,4656.96,Pune,iPhone 15,Debit Card,22,3500.0,1.33,0,0,2,0,2026-08-16 22:22:22
TXN10212,14500.77,Mumbai,Chrome Windows,Net Banking,16,12000.0,1.21,0,0,1,0,2026-08-16 16:07:11
TXN10213,7770.31,Mumbai,Samsung S24,UPI,11,8000.0,0.97,0,0,3,0,2026-08-16 11:31:18
TXN10214,3563.42,Pune,Safari macOS,Debit Card,18,5000.0,0.71,0,0,1,0,2026-08-16 18:26:43
TXN10215,2727.81,Bangalore,Samsung S24,UPI,9,5000.0,0.55,0,0,1,0,2026-08-16 09:34:18
TXN10216,6691.48,Pune,Chrome Windows,Credit Card,22,8000.0,0.84,0,0,1,0,2026-08-16 22:34:52
TXN10217,7042.74,Hyderabad,Safari macOS,Credit Card,20,5000.0,1.41,0,0,1,0,2026-08-16 20:16:22
TXN10218,1634.12,Pune,Safari macOS,UPI,14,1500.0,1.09,0,0,2,0,2026-08-16 14:10:39
TXN10219,1518.91,Bangalore,Chrome Windows,Credit Card,18,2500.0,0.61,0,0,1,0,2026-08-16 18:36:17
TXN10220,5358.64,Bangalore,Samsung S24,Debit Card,15,5000.0,1.07,0,0,1,0,2026-08-16 15:48:53
TXN10221,9333.11,New York,Chrome Windows,Net Banking,20,8000.0,1.17,0,1,1,0,2026-08-16 20:44:59
TXN10222,3510.98,Delhi,Chrome Windows,Debit Card,7,5000.0,0.7,0,0,1,0,2026-08-16 07:54:04
TXN10223,5317.1,Mumbai,Safari macOS,Credit Card,22,5000.0,1.06,0,0,2,0,2026-08-16 22:50:21
TXN10224,98347.52,Delhi,Samsung S24,UPI,2,12000.0,8.2,0,0,2,1,2026-08-16 02:44:58
TXN10225,3582.45,Mumbai,iPhone 15,Net Banking,15,3500.0,1.02,0,0,1,0,2026-08-16 15:25:40
TXN10226,1582.65,London,Samsung S24,Debit Card,9,2500.0,0.63,0,1,3,0,2026-08-16 09:33:43
TXN10227,71431.44,Singapore,Android Device,UPI,23,12000.0,5.95,1,1,4,1,2026-08-16 23:30:04
